poi_id,poi_tier,baseline_total_visits,optimized_total_visits,delta_visits,delta_visits_pct,positive_increment_received,removed_flow,net_flow_change,n_active_links_before,n_active_links_after,delta_active_links,n_new_positive_links,n_removed_positive_links,n_retained_positive_links,spse_contribution_before,spse_contribution_after,delta_spse_contribution,spse_from_new_links,spse_lost_from_removed_links,spse_change_on_retained_links,mean_delta_structural_social_exposure_per_visiting_cbg,mean_delta_structural_social_exposure_per_baseline_visiting_cbg,mean_delta_structural_social_exposure_per_union_visiting_cbg,weighted_contribution_before,weighted_contribution_after,delta_weighted_contribution,weighted_added_contribution,weighted_removed_contribution,flow_weighted_exposure_before,flow_weighted_exposure_after,delta_flow_weighted_exposure,added_origin_income_score,baseline_origin_income_score,optimized_origin_income_score,delta_origin_income_score,flow_weighted_distance_before,flow_weighted_distance_after,delta_flow_weighted_distance_km,delta_exposure_field_all_cbgs,mean_delta_exposure_field_all_cbgs,delta_exposure_field_active_union,mean_delta_exposure_field_active_union
zzw-222@62j-pst-2c5,Middle 40% baseline-flow POIs,54.0,65.0,11.0,20.37037037037037,46.0,35.0,11.0,13,27,14,14,0,13,8.751711731536842,17.408047428094523,8.656335696557681,8.796847824878913,0.0,-0.14051212832123128,0.32060502579843264,0.6658719766582831,0.32060502579843264,36.20394791087184,41.86592309733918,5.6619751864673376,29.249557244655854,23.39775283706031,0.6704434798309601,0.6440911245744488,-0.02635235525651125,3.175289915141725,3.0313836601255537,3.1209991653047577,0.08961550517920402,15.072082495154122,6.097733755831197,-8.974348739322926,-9.028317034372225,-0.012384522680894685,-0.40062384498090564,-0.014837920184477986
zzw-222@62k-2kw-dy9,Bottom 50% baseline-flow POIs,53.0,54.0,1.0,1.8867924528301887,4.0,3.0,1.0,9,10,1,1,0,9,5.6407878278420736,6.296443237575207,0.6556554097331331,0.658374715718762,0.0,-0.0027193059856285284,0.06556554097331331,0.07285060108145923,0.06556554097331331,33.23698750510735,33.856742598700606,0.6197550935932554,2.568657191536291,1.9437203537862917,0.6271129717944783,0.626976714790752,-0.00013625700372632554,3.1345082470608885,3.2594627615973537,3.2546712207419906,-0.004791540855363152,8.823965642287323,8.450569708278126,-0.37339593400919746,-0.43686001431426535,-0.0005992592788947399,-0.0029485743442771994,-0.00029485743442771997
227-222@62j-sgt-v9f,Bottom 50% baseline-flow POIs,53.0,77.0,24.0,45.28301886792453,36.0,12.0,24.0,13,27,14,14,0,13,9.294872514000808,18.309588018916244,9.014715504915436,9.17814458161817,0.0,-0.16342907670273898,0.33387835203390503,0.6934396542242643,0.33387835203390503,37.895136916945745,52.63832800250425,14.743191085558507,23.842880472979814,8.595572958202204,0.715002583338599,0.6836146493831722,-0.03138793395542683,3.161591549986114,2.804939757544883,2.951970579037522,0.14703082149263924,3.529163326909482,4.545492213530432,1.0163288866209497,-16.23462181953051,-0.022269714430083003,-0.5510539091677129,-0.020409404043248626
224-222@62j-wgx-ndv,Bottom 50% baseline-flow POIs,41.0,41.0,0.0,0.0,3.0,3.0,0.0,10,11,1,1,0,10,6.487288751497222,7.292960674599894,0.8056719231026719,0.7041990417295583,0.0,0.10147288137311361,0.0732429021002429,0.08056719231026718,0.0732429021002429,26.566724451881107,27.342779235253722,0.776054783372615,2.1125971251886746,1.6902455200094415,0.6479688890702708,0.6668970545183835,0.01892816544811271,2.9028571428571426,3.1608356302843004,3.1101450493738074,-0.050690580910492944,5.909865705089678,6.1063072200724084,0.19644151498273033,6.733620144699347,0.009236790321946978,0.10316198205936977,0.009378362005397252
225-222@62j-pjj-nbk,Bottom 50% baseline-flow POIs,37.0,63.0,26.0,70.27027027027027,29.0,3.0,26.0,9,18,9,9,0,9,6.400767671461281,12.04614380078916,5.645376129327879,5.786277626485573,0.0,-0.1409014971576945,0.31363200718488216,0.6272640143697643,0.31363200718488216,26.345838047953592,42.35621789879559,16.010379850842,18.78539385410902,2.2427924053613406,0.7120496769717187,0.6723209190285013,-0.039728757943217397,3.271405570575877,2.9347131783120535,3.108490795819251,0.17377761750719767,5.111118080088477,4.961436860144481,-0.14968121994399564,-21.124518211061385,-0.028977391236023848,-0.4760374961346314,-0.026446527563035078
zzw-222@62j-x3r-gzf,Bottom 50% baseline-flow POIs,34.0,37.0,3.0,8.823529411764707,3.0,0.0,3.0,8,9,1,1,0,8,5.509360693710267,6.183798419252248,0.6744377255419813,0.6802080255438625,0.0,-0.005770300001881723,0.07493752506022015,0.08430471569274767,0.07493752506022015,23.448971796768106,25.46577337544731,2.0168015786792033,2.0406240766315875,0.0,0.6896756410814149,0.6882641452823598,-0.0014114957990550847,3.0981697171381035,3.0304629297686922,3.0359526692851313,0.005489739516439052,10.380165719172135,11.590234059388605,1.2100683402164698,-0.6116405750145868,-0.0008390131344507363,-0.006596421184157042,-0.0007329356871285602
222-224@62k-nyw-4gk,Bottom 50% baseline-flow POIs,32.0,28.0,-4.0,-12.5,5.0,9.0,-4.0,8,10,2,2,0,8,4.113823271241998,5.256085805124583,1.142262533882585,1.1115892180304585,0.0,0.030673315852126848,0.1142262533882585,0.14278281673532311,0.1142262533882585,16.45529308496799,14.596502771350957,-1.8587903136170336,2.8666480092548214,4.815807144170875,0.5142279089052497,0.5213036704053914,0.007075761500141664,3.095792594133555,3.457666388068686,3.4191285270178904,-0.03853786105079582,9.043884988002418,6.438855792371532,-2.6050291956308858,2.063547561296419,0.00283065509094159,0.03156384366345377,0.003156384366345377
228-222@62k-pc7-d5f,Bottom 50% baseline-flow POIs,28.0,56.0,28.0,100.0,34.0,6.0,28.0,6,20,14,14,0,6,4.464091337416207,13.543003878815256,9.078912541399049,8.93596976023009,0.0,0.14294278116895887,0.45394562706995245,1.5131520902331748,0.45394562706995245,20.815739640986195,38.62329925238312,17.807559611396925,21.761348817536764,4.45881062130314,0.7434192728923641,0.6897017723639843,-0.05371750052837976,3.4081172765738748,2.396426794635793,3.007512153661319,0.6110853590255259,4.115820800794794,6.545187127878479,2.4293663270836845,-67.48814473934726,-0.09257633023230077,-1.8311450764784933,-0.09155725382392467
222-222@62j-rk3-rtv,Bottom 50% baseline-flow POIs,24.0,48.0,24.0,100.0,42.0,18.0,24.0,6,22,16,16,0,6,4.267485323277447,12.407489821680429,8.14000449840298,8.525097076450177,0.0,-0.38509257804719677,0.37000020447286275,1.3566674164004968,0.37000020447286275,17.06994129310979,22.429644093984287,5.359702800874498,18.54725134875404,12.80245596983234,0.7112475538795745,0.46728425195800605,-0.24396330192156845,3.5823919152785697,2.8339208346723677,3.488833030202794,0.6549121955304265,10.820038012798216,6.879986557856601,-3.9400514549416155,-73.89231111859871,-0.10136119495006682,-2.6147352071431573,-0.11885160032468897
222-222@62j-shb-t9z,Bottom 50% baseline-flow POIs,24.0,38.0,14.0,58.333333333333336,22.0,8.0,14.0,6,16,10,10,0,6,3.570824132049349,9.569120552947744,5.998296420898395,5.925712789641856,0.0,0.0725836312565381,0.3748935263061497,0.9997160701497325,0.3748935263061497,14.283296528197397,22.61684127892687,8.333544750729473,12.874216132410037,4.67065209212951,0.5951373553415581,0.5951800336559703,4.267831441218117e-05,3.2670975544303342,3.3457018307573443,3.2903266306208963,-0.05537520013644803,1.3999871300685882,2.3188779281964442,0.918890798127856,-5.988266567905546,-0.008214357431969199,-0.2008943966817609,-0.012555899792610056
22j-222@62j-sk3-jn5,Bottom 50% baseline-flow POIs,24.0,21.0,-3.0,-12.5,7.0,10.0,-3.0,6,10,4,4,0,6,4.197505903189298,6.3930805856607975,2.1955746824714995,2.320948148061755,0.0,-0.1253734655902553,0.21955746824714995,0.3659291137452499,0.21955746824714995,16.790023612757192,13.394612951009492,-3.3954106617477002,4.098062857307024,7.062825012993688,0.6995843171982163,0.6378387119528331,-0.061745605245383195,3.443748953519396,2.9711399826641594,3.1440181709632653,0.17287818829910595,5.530901585923431,4.16499732764398,-1.3659042582794507,-24.971982082785722,-0.034255119455124446,-0.3779623889216861,-0.03779623889216861
zzw-222@62j-rg6-kj9,Bottom 50% baseline-flow POIs,24.0,24.0,0.0,0.0,3.0,3.0,0.0,6,7,1,1,0,6,3.4152739023710112,4.159273147205556,0.7439992448345447,0.6678571518332974,0.0,0.0761420930012473,0.10628560640493497,0.12399987413909079,0.10628560640493497,13.661095609484043,14.243310124729938,0.5822145152458944,2.003571455499892,1.6839629187568508,0.5692123170618352,0.5934712551970808,0.0242589381352456,2.9689265536723166,3.402543593886621,3.3463718313963136,-0.05617176249030731,5.874506425515661,6.310564991549686,0.43605856603402504,6.793076662343205,0.009318349331060639,0.08115548124726468,0.011593640178180669
222-222@62k-r96-syv,Bottom 50% baseline-flow POIs,17.0,8.0,-9.0,-52.94117647058824,3.0,12.0,-9.0,4,5,1,1,0,4,2.158189832707877,2.926460127238279,0.7682702945304021,0.6473800326846509,0.0,0.12089026184575113,0.15365405890608042,0.19206757363260052,0.15365405890608042,9.216469939179667,4.752497219343261,-4.4639727198364065,1.9421400980539527,6.559957913696525,0.5421452905399804,0.5940621524179076,0.05191686187792721,3.1207289293849656,3.3516162675172705,3.3061784945323773,-0.045437772984893154,9.34235595077551,7.465469092942042,-1.8768868578334672,11.832837422165909,0.016231601402148025,0.12682240256118282,0.025364480512236564
