f_values_iter,distances_iter,social_iter,social_iter_weight,diff_iter
-121149.66586849486,21482.604939617937,741.7944946269561,2633.185644749513,24.24871130596428
-121146.81639613029,21542.183088570342,745.9155380774534,2635.2440145989995,24.20743687382041
-121146.83912379577,21478.663085184777,745.737957705285,2633.1682680294043,24.24871130596428
-121157.58363864214,21545.019734035744,747.8893658664659,2635.3364198944973,24.24871130596428
-121167.73284658595,21474.59767381286,746.9903680454568,2633.246564808068,24.331050121192877
-121163.44938418482,21560.596467236363,749.0842168497516,2635.528711866392,24.331050121192877
-121169.45753283193,21497.444696847982,748.2225295438905,2633.5367555968487,24.49489742783178
-121166.50604419479,21573.29238494664,750.3408733434167,2635.6499219150373,24.331050121192877
-121169.83745745533,21512.751294034417,748.8041431619615,2633.7453444405573,24.24871130596428
-121167.26298885589,21591.15379450412,751.0453721551,2635.951925176446,24.331050121192877
-121175.32006210176,21513.471833283176,749.5374465393351,2633.845328385497,24.331050121192877
-121172.96106629138,21583.49223109793,751.0445584918086,2635.997400152574,24.331050121192877
-121181.44363123711,21500.809682220533,750.1095880855637,2633.783780901062,24.331050121192877
-121176.21654724318,21566.8676171634,751.6281108381452,2635.8839607763343,24.331050121192877
-121183.97136722069,21495.83925685848,750.1166737655783,2633.870028871752,24.24871130596428
-121182.92986757196,21579.30085228659,752.8455640331822,2636.081115862931,24.331050121192877
-121188.78241923395,21510.02989045185,752.0969762952366,2634.1793053237016,24.49489742783178
-121184.53819701412,21563.36469723665,753.6220757744878,2636.2890794837813,24.73863375370596
-121188.95525779386,21492.391595205416,752.8149961580077,2634.1519924030363,24.49489742783178
-121198.21140998462,21555.836463567906,754.9869439415677,2636.203793565144,24.49489742783178
-121206.98991420829,21483.051072951042,753.4789866739618,2634.171022364003,24.24871130596428
-121203.09255704124,21548.869307064444,754.9985375117147,2636.2309004806502,24.49489742783178
-121211.26722094258,21516.808221184878,754.1302365037731,2634.677346557836,24.73863375370596
-121205.48890049779,21590.82798589071,755.5630994161412,2636.828404250093,24.331050121192877
-121202.98749274923,21535.69705370572,754.0809922054375,2634.8431886792196,24.49489742783178
-121207.96802879829,21592.48046966926,755.603233824444,2636.789945557006,24.576411454889016
-121215.86420121294,21518.305804740376,754.1197588351744,2634.812143970551,
