poi_id,longitude,latitude,poi_code
zzw-22d@62j-sjv-j35,-71.112062,42.369871,712110
zzw-22f@62j-sjv-j35,-71.112102,42.369898,712110
zzw-22g@62j-sjv-j35,-71.112089,42.369885,712110
zzw-22j@62j-shz-vs5,-71.054848,42.360257,712110
zzy-222@62j-pss-zxq,-70.878298,42.560588,712110
zzy-222@62j-sd7-9s5,-71.330901,42.418565,712110
zzy-222@62j-sgc-kxq,-71.162618,42.340767,712110
zzy-222@62j-shx-6kz,-71.06777,42.36686,712110
zzy-222@62j-shx-vcq,-71.05531,42.374021,712110
zzy-222@62j-shy-c89,-71.062963,42.377928,712110
zzy-222@62j-sjm-xnq,-71.034668,42.314177,712110
zzy-222@62j-ss2-c5z,-71.262553,42.365713,712110
zzy-222@62j-swz-xnq,-71.135242,42.647661,712110
zzy-222@62j-w8t-v2k,-70.919846,43.132585,712110
zzy-222@62j-wdb-mhq,-70.773389,43.012258,712110
zzy-222@62j-wgw-rtv,-70.774507,43.066184,712110
zzy-222@62k-26r-m8v,-70.664469,41.955463,712110
zzy-222@62k-fhc-dd9,-71.585821,42.56824,712110
zzy-223@62j-sjm-y35,-71.03423,42.316273,712110
zzy-224@62j-rfc-94v,-71.294576,42.893682,712110
222-222@62j-pjg-5cq,-70.729854,42.590616,713940
222-222@62j-pm6-cdv,-70.638637,42.631363,713940
222-222@62j-pne-sh5,-70.988498,42.697635,713940
222-222@62j-pnw-q2k,-71.026055,42.712191,713940
222-222@62j-pps-3dv,-71.114544,42.718508,713940
222-222@62j-pr5-wzf,-70.90771,42.706868,713940
222-222@62j-ps7-dgk,-70.884697,42.572366,713940
222-222@62j-psr-brk,-70.900055,42.511987,713940
222-222@62j-pst-3qz,-70.884097,42.552348,713940
222-222@62j-ptg-3wk,-70.975107,42.555232,713940
222-222@62j-ptq-54v,-70.939519,42.549929,713940
222-222@62j-ptq-kpv,-70.939156,42.552588,713940
222-222@62j-ptr-649,-70.938492,42.568223,713940
222-222@62j-ptr-pqf,-70.975021,42.568319,713940
222-222@62j-pvk-nkf,-70.783888,42.580605,713940
222-222@62j-pw3-33q,-70.922831,42.678205,713940
222-222@62j-q5h-w6k,-70.931936,42.855837,713940
222-222@62j-q65-9zz,-70.895946,42.815176,713940
222-222@62j-q89-b6k,-70.930661,42.939341,713940
222-222@62j-q89-v4v,-70.914108,42.93496,713940
222-222@62j-qrn-wc5,-70.795561,42.218798,713940
222-222@62j-qrp-85f,-70.799059,42.218849,713940
222-222@62j-qsr-vvf,-70.876819,42.169825,713940
222-222@62j-qsv-3yv,-70.908011,42.162945,713940
222-222@62j-qt2-x3q,-70.885432,42.170709,713940
222-222@62j-qv5-g49,-70.838301,42.254094,713940
222-222@62j-qv7-2zf,-70.821819,42.234784,713940
222-222@62j-r5s-kj9,-70.856499,42.509843,713940
222-222@62j-rcm-t35,-71.360328,42.852555,713940
